,obs_M,obs_phi,obs_sigma_lower,obs_sigma_upper,z
0,1026115103.37,0.00267346938776,0.00219241982507,0.00102623906706,7.0
1,2339893440.92,0.0010612244898,0.00105539358601,0.000399416909621,7.0
2,5323485555.72,0.000516034985423,0.000516034985423,0.000239067055394,7.0
3,12111448310.6,0.000104956268222,0.000104664723032,0.000219825072886,7.0
4,27554724934.3,1.23032069971e-06,1.22740524781e-06,6.7055393586e-05,7.0
5,256564213.927,0.0290087463557,0.0127988338192,0.0112827988338,5.0
6,526254812.047,0.0127988338192,0.00376093294461,0.0035860058309,5.0
7,1081922319.18,0.0069387755102,0.00201457725948,0.00190670553936,5.0
8,2219198141.53,0.00399416909621,0.00103790087464,0.000985422740525,5.0
9,4562428589.79,0.0030029154519,0.00127405247813,0.000883381924198,5.0
10,9358280966.97,0.00120991253644,0.000542274052478,0.000469387755102,5.0
11,19239601834.6,0.000361516034985,0.000148104956268,0.000148104956268,5.0
12,39463543618.8,0.00011195335277,8.80466472303e-05,8.89212827988e-05,5.0
13,81132728210.0,1.5860058309e-05,1.58309037901e-05,5.18950437318e-05,5.0
14,206631286.68,0.0504373177843,0.0101166180758,0.0104664723032,4.0
15,367448162.573,0.0361516034985,0.00539358600583,0.00539358600583,4.0
16,653425501.76,0.0223906705539,0.00236734693878,0.00244314868805,4.0
17,1161973115.77,0.0123906705539,0.00120699708455,0.00121282798834,4.0
18,2066312866.8,0.00717201166181,0.000766763848397,0.000772594752187,4.0
19,3674481625.73,0.0031778425656,0.000486880466472,0.000472303206997,4.0
20,6534255017.6,0.00177259475219,0.000332361516035,0.000326530612245,4.0
21,11619731157.7,0.00098250728863,0.000309037900875,0.000282798833819,4.0
22,20663128668.0,0.00023527696793,0.000129737609329,0.000130612244898,4.0
23,36744816257.3,9.97084548105e-05,8.71720116618e-05,8.74635568513e-05,4.0
24,65342550176.0,2.8250728863e-07,2.8221574344e-07,4.75218658892e-05,4.0
25,1.16197311577e+11,1.02623906706e-20,1.02332361516e-20,0.000620991253644,4.0
26,451020290.159,0.00807580174927,0.0024110787172,0.00231486880466,6.0
27,1026115103.37,0.00338192419825,0.00102915451895,0.00102623906706,6.0
28,2339893440.92,0.00125364431487,0.000390670553936,0.000399416909621,6.0
29,5323485555.72,0.000632653061224,0.000240816326531,0.000239067055394,6.0
30,12111448310.6,0.000297376093294,0.000220116618076,0.000219825072886,6.0
31,27554724934.3,4.37317784257e-05,4.37317784257e-05,6.7055393586e-05,6.0
32,62689683903.7,5.33527696793e-06,5.33527696793e-06,8.60058309038e-05,6.0
