mstar,sfr,sigma_sfr,z_low,z_high
7.85,-0.84,0.54,1.3,2
8.25,-0.33,0.53,1.3,2
8.72,0.02,0.41,1.3,2
9.23,0.44,0.47,1.3,2
9.71,1.08,0.32,1.3,2
10.16,1.4,0.31,1.3,2
10.68,1,0.69,1.3,2
7.84,-0.81,0.36,2,3
8.29,-0.25,0.45,2,3
8.73,0.08,0.39,2,3
9.21,0.61,0.37,2,3
9.7,1.19,0.19,2,3
10.17,1.44,0.76,2,3
10.76,1.68,0.38,2,3
7.74,-0.33,0.62,3,4
8.28,0.07,0.39,3,4
8.78,0.38,0.31,3,4
9.23,0.79,0.3,3,4
9.68,1.14,0.21,3,4
10.13,1.22,0.54,3,4
10.68,2.28,0.24,3,4
7.9,0.04,0.33,4,5
8.36,0.21,0.41,4,5
8.78,0.51,0.36,4,5
9.25,0.83,0.37,4,5
9.72,0.96,0.24,4,5
10.24,1.66,0.74,4,5
10.77,1.59,0.68,4,5
8.31,0.63,0.45,5,6
8.78,1.03,0.63,5,6
9.22,1.13,0.32,5,6
9.76,1.54,0.86,5,6
10.20,2.76,0.91,5,6

